Недоросль, Денис Фонвизин,1782
Бедная Лиза, Николай Карамзин,1792
Горе от ума, Александр Грибоедов,1822
Евгений Онегин, Александр Пушкин,1823
Борис Годунов, Александр Пушкин,1825
Повести Белкина, Александр Пушкин,1830
Маленькие трагедии, Александр Пушкин,1830
Медный всадник, Александр Пушкин,1833
Пиковая дама, Александр Пушкин,1833
Капитанская дочка, Александр Пушкин,1836
Герой нашего времени, Михаил Лермонтов,1839
Вечера на хуторе близ Диканьки, Николай Гоголь,1829
Миргород, Николай Гоголь,1835
Мертвые души, Николай Гоголь,1835
Ревизор, Николай Гоголь,1835
Тарас Бульба, Николай Гоголь,1835, 1842
Петербургские повести, Николай Гоголь,1832
Кто виноват?, Александр Герцен,1841
Обломов, Иван Гончаров,1847
Обыкновенная история, Иван Гончаров,1847
Записки охотника, Иван Тургенев,1847
Муму, Иван Тургенев,1852
Дворянское гнездо, Иван Тургенев,1856
Ася, Иван Тургенев,1858
Отцы и дети, Иван Тургенев,1860
Вешние воды, Иван Тургенев,1872
Детство. Отрочество. Юность, Лев Толстой,1852
Война и мир, Лев Толстой,1863
Кавказский пленник, Лев Толстой,1872
Анна Каренина, Лев Толстой,1873
Воскресение, Лев Толстой,1889
Крейцерова соната, Лев Толстой,1889
Гроза, Александр Островский,1859
Бесприданница, Александр Островский,1874
Что делать?, Николай Чернышевский,1862
Леди Макбет Мценского уезда, Николай Лесков,1864
Левша, Николай Лесков,1881
Село Степанчиково и его обитатели, Федор Достоевский,1859
Записки из Мертвого дома, Федор Достоевский,1860
Преступление и наказание, Федор Достоевский,1865
Идиот, Федор Достоевский,1868
Бесы, Федор Достоевский,1871
Подро́сток, Федор Достоевский,1874
Братья Карамазовы, Федор Достоевский,1878
История одного города, Михаил Салтыков-Щедрин,1870
Господа Головлевы, Михаил Салтыков-Щедрин,1880
Кому на Руси жить хорошо, Николай Некрасов,1874
Драма на охоте, Антон Чехов,1884
Рассказы, Антон Чехов,1885
Дуэль, Антон Чехов,1891
Дядя Ваня, Антон Чехов,1896
Чайка, Антон Чехов,1896
Три сестры, Антон Чехов,1900
Вишневый сад, Антон Чехов,1903
На дне, Максим Горький,1902
Мать, Максим Горький,1906
Детство, Максим Горький,1913
Жизнь Клима Самгина, Максим Горький,1925
Красный смех, Леонид Андреев,1904
Олеся, Александр Куприн,1898
Гранатовый браслет, Александр Куприн,1910
Петербург, Андрей Белый,1913
Мы, Евгений Замятин,1920
Антоновские яблоки, Иван Бунин,1900
Лёгкое дыхание, Иван Бунин,1915
Митина любовь, Иван Бунин,1924
Темные аллеи, Иван Бунин,1944
Алые паруса, Александр Грин,1916
Три Толстяка, Юрий Олеша,1924
Одесские рассказы, Исаак Бабель,1924
Петр Первый, Алексей Н. Толстой,1929
Хождение по мукам, Алексей Н. Толстой,1922
Собачье сердце, Михаил Булгаков,1925
Белая гвардия, Михаил Булгаков,1925
Записки юного врача, Михаил Булгаков,1925
Мастер и Маргарита, Михаил Булгаков,1929
12 стульев, Илья Ильф и Евгений Петров,1927
Золотой теленок, Илья Ильф и Евгений Петров,1931
Донские рассказы, Михаил Шолохов,1926
Тихий дон, Михаил Шолохов,19281940
Чевенгур, Андрей Платонов,1928
Котлован, Андрей Платонов,1930
Как закалялась сталь, Николай Островский,1934
Рассказы о Леле и Миньке, Михаил Зощенко,1937
Перед восходом солнца, Михаил Зощенко,1943
Старуха, Даниил Хармс,1939
Дракон, Евгений Шварц,1944
Белеет парус одинокий, Валентин Катаев,1936
Сын полка, Валентин Катаев,1944
Два капитана, Вениамин Каверин,1938
Повесть о жизни,Константин Паустовский,1945
Доктор Живаго, Борис Пастернак,1945
Молодая гвардия, Александр Фадеев,1946
Жизнь и судьба, Василий Гроссман,1959
А зори здесь тихие, Борис Васильев,1969
Пикник на обочине,Аркадий и Борис Стругацкие,1972
Калина красная,Василий Шукшин,1973
Кролики и удавы, Фазиль Искандер,1982
Заповедник,Сергей Довлатов,1983
Чемодан, Сергей Довлатов,1986